LMFA03010013 2.55 2.35
LMFA03010012 2.91 2.8
LMFA03010011 2.94 2.91
LMFA03010010 2.95 2.97
LMFA03010014 3.4 4.71
LMFA03010139 3.66 5.19
LMFA03010019 4.09 6.59
LMFA03010018 4.2 6.61
LMFA03050006 4.24 6.13
LMFA03060014 4.34 6.58
LMFA01030001 4.72 7.35
LMFA03040001 3.48 4.86
LMFA03060011 5.19 7.54
LMFA03060012 5.42 8.3
LMFA03060018 5.47 7.89
LMFA03060019 5.69 7.89
LMFA03030002 6.03 8.02
LMFA03050010 6.57 8.76
LMFA03010029 6.78 8.58
LMFA03010026 6.81 8.6
LMFA03010027 7.55 7.53
LMFA03010024 7.75 9.08
LMFA03010025 8.22 9.75
LMFA03010022 8.39 9.95
LMFA03010023 8.42 9.82
LMFA03010021 9.12 10.32
LMFA03050004 9.2 11.03
LMFA03010001 9.67 12.7
LMFA03010002 9.84 13.01
LMFA03010003 9.98 13.01
LMFA03010004 9.99 13.4
LMFA03050008 10.2 13.8
LMFA03060007 10.25 12.99
LMFA03060006 10.25 14.04
LMFA03060003 10.45 14.33
LMFA03060002 10.5 14.48
LMFA03060001 10.62 14.83
LMFA03060010 10.67 14.59
LMFA03080003 10.7 14.77
LMFA03060008 10.7 14.8
LMFA03080002 10.76 14.86
LMFA03080004 11.06 15.36
LMFA03020003 11.08 15.42
LMFA03010031 11.27 15.51
LMFA03010030 11.36 15.83
LMFA03010033 11.5 16.05
LMFA03010035 11.7 16.3
LMFA03010036 14.37 18.97
LMGP01010001 3.75 0.50
LMGP02010008 4.50 0.75
LMGP01010004 4.50 0.50
LMGP03010004 5.25 0.75
LMGP06010005 5.75 0.75
LMGP06010003 6.00 1.00
LMGP02010004 6.25 0.75
LMGP03010001 7.00 1.00
LMGP10010004 9.00 1.00
LMGP10010001 11.00 1.00
LMGP04010004 21.50 1.50
LMGP04010001 26.50 1.50
